Account,User Name,Followers at Posting,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,URL,Description
Leo Messi,leomessi,434255880,27/02/2023,18:17:47,Album,23333227,23075849,257378,0,https://www.instagram.com/p/CpLxnFlNJZn/,"Gracias a todos los que hicieron posible que ganara este premio. A todos los de la @afaseleccion, a mi familia y amigos, a los 45 millones de argentinos que confiaron en nosotros… Y felicidades a todas las ganadoras y ganadores de los @fifa The Best, especialmente a @lioscaloni y a @emi_martinez26 que tanto merecieron sus premios también. Un abrazo a todos, nos vemos pronto!!!"
Selena Gomez,selenagomez,381000851,22/02/2023,21:32:34,Photo,20020533,19760862,259671,0,https://www.instagram.com/p/Co_P7YgrrFO/,I deleted this one time because I thought maybe it was too much but eh (taking a break from social)
KIARA,kiaraaliaadvani,26965756,07/02/2023,11:55:59,Album,16776082,16554530,221552,0,https://www.instagram.com/p/CoXmBSLvj7A/,"“Ab humari permanent booking hogayi hai” 

We seek your blessings and love on our journey ahead ❤️🙏"
Cristiano Ronaldo,cristiano,545618329,09/02/2023,16:19:37,Album,16501407,16317762,183645,0,https://www.instagram.com/p/CodNx8BL1-X/,"Great feeling to have scored 4 goals and reaching my 500th league goal in a very solid win by the team!💪🏼
⚽️⚽️⚽️⚽️"
Cristiano Ronaldo,cristiano,548818853,15/02/2023,12:06:51,Photo,14683868,14603158,80710,0,https://www.instagram.com/p/CosNn0ZN-57/,The comfort of being able to wear #CR7Underwear on any occasion is real.
Cristiano Ronaldo,cristiano,551324765,25/02/2023,13:40:27,Album,14619124,14489506,129618,0,https://www.instagram.com/p/CpGISHGLk0h/,"Special night ⚽️⚽️⚽️ 
Well done guys!💛💙"
Jin of BTS,jin,44212419,04/03/2023,01:10:40,Photo,13517205,13517204,1,0,https://www.instagram.com/p/CpW0CpzhZyS/,어서와
V,thv,56881100,26/02/2023,22:13:49,Album,12844571,12844571,0,10998354,https://www.instagram.com/p/CpJn09fPvud/,🥸
Selena Gomez,selenagomez,390981561,02/03/2023,11:55:31,Album,12661694,12589553,72141,5648190,https://www.instagram.com/p/CpS0P4XuDm4/,"Texas girl at heart. Cali girl for fun and NY gal for the real. Grateful, thankful and blessed lady!"
Cristiano Ronaldo,cristiano,547708976,14/02/2023,07:08:30,Photo,12639004,12558961,80043,0,https://www.instagram.com/p/CopGrzNrFLa/,"Happy Valentine’s Day meu amor!
So lucky to have you in my life!❤️"
Leo Messi,leomessi,431001700,18/02/2023,03:53:58,Photo,12628272,12553503,74769,0,https://www.instagram.com/p/CozDmfZN0Ys/,#N/A
badgalriri,badgalriri,143304019,15/02/2023,20:04:30,Album,12087349,12029558,57791,0,https://www.instagram.com/p/CotESMHvkjC/,"my son so fine! Idc idc idc! 

How crazy both of my babies were in these photos and mommy had no clue ❤️❤️ 
thank you so much @edward_enninful and @inezandvinoodh for celebrating us as a family!"
Leo Messi,leomessi,431422267,19/02/2023,09:41:49,Album,11880748,11785166,95582,0,https://www.instagram.com/p/Co2QNCqtp6F/,Vamoooosss!!! 💪🏻⚽️💥
