"","naissance","genre","permis","suisse","origine","fraterie","domicile","trajet","note_ecole","note_uni"
"1",2001,"Femme","Oui","Oui","Europe",1,"Fribourg",5,5,5.5
"2",2001,"Femme","Oui","Oui","Europe",1,"Fribourg",35,4.5,5.4
"3",2002,"Femme","Oui","Oui","Europe",3,"Valais",5,4.7,4.7
"4",2004,"Femme","Oui","Oui","Europe",2,"Vaud",45,5.1,4.9
"5",2002,"Femme","Oui","Non","Europe",0,"Fribourg",6,4.6,5
"6",2001,"Femme","Oui","Oui","Europe",0,"Fribourg",40,4.9,5.5
"7",2000,"Homme","Oui","Oui","Europe",1,"Fribourg",35,4.2,4.4
"8",1999,"Homme","Oui","Oui","Europe",1,"Tessin",5,4.8,5.3
"9",1999,"Femme","Oui","Oui","Europe",5,"Genève",20,4.5,5
"10",2001,"Homme","Oui","Oui","Europe",1,"Fribourg",35,5.1,4.9
"11",2003,"Femme","Oui","Oui","Europe",2,"Vaud",10,4.6,4.7
"12",2004,"Femme","Oui","Oui","Europe",1,"Fribourg",20,4.6,4.5
"13",2003,"Autre","Oui","Oui","Europe",2,"Fribourg",30,4.3,4.5
"14",2003,"Femme","Oui","Oui","Europe",4,"Fribourg",15,NA,NA
"15",2002,"Femme","Oui","Oui","Europe",3,"Fribourg",10,6,5.3
"16",2003,"Femme","Non","Oui","Europe",2,"Berne",60,4.9,4.7
"17",2001,"Femme","Oui","Oui","Europe",7,"Fribourg",45,5.2,5.2
"18",2004,"Homme","Non","Oui","Europe",1,"Vaud",30,4.4,4.9
"19",2001,"Homme","Oui","Oui","Europe",1,"Fribourg",15,4.5,4.9
"20",2004,"Femme","Oui","Oui","Europe",1,"Valais",10,5.3,5.2
"21",2004,"Femme","Oui","Oui","Europe",2,"Vaud",75,5.2,5.2
"22",1999,"Homme","Oui","Non","Amérique (Nord et Sud et Caraïbes)",1,"Fribourg",20,4.2,5.2
"23",2002,"Femme","Oui","Oui","Europe",1,"Fribourg",30,4.9,4.9
"24",2003,"Femme","Non","Oui","Afrique",1,"Neuchâtel",60,5.3,5
"25",1998,"Femme","Oui","Oui","Europe",1,"Valais",60,4.3,4.6
"26",1995,"Femme","Oui","Non","Amérique (Nord et Sud et Caraïbes)",2,"Fribourg",15,5.1,4.4
"27",2004,"Femme","Non","Oui","Europe",2,"Valais",10,5.3,5
"28",2003,"Femme","Non","Oui","Europe",1,"Fribourg",20,5,5.2
"29",2003,"Femme","Non","Oui","Europe",1,"Genève",10,4.7,4.8
"30",2004,"Femme","Non","Oui","Europe",1,"Vaud",10,5,5.1
"31",1999,"Femme","Oui","Oui","Amérique (Nord et Sud et Caraïbes)",1,"Fribourg",13,4.8,4.7
"32",1999,"Femme","Oui","Oui","Europe",1,"Fribourg",20,4.8,5.4
"33",2003,"Homme","Oui","Oui","Europe",1,"Valais",8,4.5,4.5
"34",2004,"Femme","Oui","Oui","Europe",0,"Tessin",5,4.6,4.2
"35",1986,"Femme","Oui","Oui","Europe",3,"Valais",5,5.5,5.2
"36",2002,"Homme","Oui","Oui","Europe",1,"Fribourg",5,4,5
"37",2004,"Femme","Non","Oui","Europe",0,"Fribourg",15,4.8,4.9
"38",1998,"Femme","Oui","Non","Europe",1,"Fribourg",35,1,4.5
"39",2001,"Femme","Oui","Oui","Europe",2,"Berne",80,5.3,4.9
"40",1996,"Femme","Non","Oui","Europe",4,"Genève",95,4.4,4
"41",2002,"Femme","Oui","Oui","Europe",1,"Fribourg",75,4.7,5
"42",2005,"Femme","Non","Oui","Europe",2,"Vaud",75,5,5.2
"43",2003,"Femme","Oui","Oui","Europe",1,"Vaud",7,4.5,4.7
"44",1997,"Femme","Oui","Oui","Europe",4,"Fribourg",15,4.8,5
"45",2004,"Femme","Oui","Oui","Europe",3,"Vaud",5,5,2
"46",2003,"Femme","Oui","Oui","Europe",1,"Tessin",15,4.8,4.5
"47",2002,"Femme","Oui","Oui","Europe",1,"Vaud",3,4.7,4.7
"48",2000,"Femme","Non","Non","Europe",2,"Genève",15,5.1,5
"49",2002,"Femme","Oui","Oui","Amérique (Nord et Sud et Caraïbes)",2,"Fribourg",25,4.5,5
"50",2002,"Femme","Oui","Oui","Europe",1,"Vaud",6,4.8,4.6
"51",2004,"Femme","Non","Oui","Amérique (Nord et Sud et Caraïbes)",3,"Vaud",10,5,5.2
"52",2002,"Homme","Oui","Oui","Europe",3,"Fribourg",30,4.8,5.1
"53",2002,"Autre","Oui","Oui","Europe",0,"Genève",15,4.7,5
"54",2000,"Femme","Non","Oui","Europe",1,"Vaud",60,6,5
"55",2002,"Femme","Oui","Oui","Europe",3,"Vaud",75,4.8,5.2
"56",2001,"Femme","Oui","Oui","Europe",1,"Vaud",75,5.1,4.8
"57",2002,"Femme","Oui","Non","Europe",4,"Fribourg",30,4.9,5.1
"58",2005,"Homme","Non","Oui","Europe",1,"Vaud",45,5.2,5.8
"59",2001,"Femme","Oui","Oui","Europe",1,"Valais",90,4.4,4.4
"60",2002,"Femme","Oui","Oui","Europe",4,"Fribourg",60,4.5,4.2
"61",2005,"Femme","Oui","Non","Europe",3,"Fribourg",20,5.4,5.2
"62",1996,"Homme","Non","Oui","Europe",5,"Fribourg",5,4.8,4.8
"63",1999,"Femme","Oui","Oui","Europe",1,"Jura",180,4.7,5.3
"64",1999,"Homme","Non","Non","Europe",1,"Bâle-Ville",1.5,4.3,3.5
"65",1999,"Femme","Oui","Oui","Europe",2,"Fribourg",20,NA,4.5
"66",2004,"Femme","Non","Oui","Europe",2,"Vaud",90,4.7,5.1
"67",2003,"Homme","N/A","Oui","Europe",1,"Fribourg",10,5,4
"68",2003,"Femme","Oui","Oui","Europe",2,"Vaud",75,4.9,5.2
"69",2002,"Femme","Oui","Oui","Europe",2,"Valais",120,4.8,5.5
